,symbol,strike_spread,lotsize,tv_symbol,fno
149,MRF,500,5,MRF,TRUE
150,MUTHOOTFIN,20,275,MUTHOOTFIN,TRUE
151,NATIONALUM,5,3750,NATIONALUM,TRUE
152,NAUKRI,100,75,NAUKRI,TRUE
153,NAVINFLUOR,50,175,NAVINFLUOR,TRUE
154,NCC,5,1775,NCC,TRUE
155,NESTLEIND,20,200,NESTLEIND,TRUE
156,NHPC,1,6400,NHPC,TRUE
157,NMDC,5,4500,NMDC,TRUE
158,NTPC,5,1500,NTPC,TRUE
159,NYKAA,5,2950,NYKAA,TRUE
160,OBEROIRLTY,20,350,OBEROIRLTY,TRUE
161,OFSS,250,50,OFSS,TRUE
162,OIL,10,1075,OIL,TRUE
163,ONGC,1,1925,ONGC,TRUE
164,PAGEIND,500,15,PAGEIND,TRUE
165,PAYTM,20,650,PAYTM,TRUE
166,PEL,20,750,PEL,TRUE
167,PERSISTENT,100,100,PERSISTENT,TRUE
168,PETRONET,2,1500,PETRONET,TRUE
169,PFC,10,1300,PFC,TRUE
170,PIDILITIND,20,250,PIDILITIND,TRUE
171,PIIND,50,125,PIIND,TRUE
172,PNB,1,8000,PNB,TRUE
173,POLICYBZR,50,325,POLICYBZR,TRUE
174,POLYCAB,100,125,POLYCAB,TRUE
175,POONAWALLA,5,1450,POONAWALLA,TRUE
176,POWERGRID,5,1800,POWERGRID,TRUE
177,PRESTIGE,50,325,PRESTIGE,TRUE
178,PVRINOX,20,407,PVRINOX,TRUE
179,RAMCOCEM,10,850,RAMCOCEM,TRUE
180,RBLBANK,5,2500,RBLBANK,TRUE
181,RECLTD,10,1000,RECLTD,TRUE
182,RELIANCE,10,500,RELIANCE,TRUE
183,SAIL,5,4000,SAIL,TRUE
184,SBICARD,5,800,SBICARD,TRUE
185,SBILIFE,20,375,SBILIFE,TRUE
186,SBIN,10,750,SBIN,TRUE
187,SHREECEM,250,25,SHREECEM,TRUE
188,SHRIRAMFIN,50,150,SHRIRAMFIN,TRUE
189,SIEMENS,100,75,SIEMENS,TRUE
190,SJVN,5,4725,SJVN,TRUE
191,SONACOMS,10,775,SONACOMS,TRUE
192,SRF,20,375,SRF,TRUE
193,SUNPHARMA,20,350,SUNPHARMA,TRUE
194,SUNTV,10,750,SUNTV,TRUE
195,SUPREMEIND,100,125,SUPREMEIND,TRUE
196,SYNGENE,10,1000,SYNGENE,TRUE
197,TATACHEM,20,550,TATACHEM,TRUE
