,datetime,symbol,open,high,low,close,volume,Open,High,Low,Close,Volume,Datetime,Date
5100,2026-06-19 09:15:00,NSE:NIFTY,23998.8,23998.8,23939.8,23980.9,25527427.0,23998.8,23998.8,23939.8,23980.9,25527427.0,2026-06-19 09:15:00,2026-06-19
5101,2026-06-19 09:20:00,NSE:NIFTY,23980.8,23981.2,23961.2,23962.85,9991083.0,23980.8,23981.2,23961.2,23962.85,9991083.0,2026-06-19 09:20:00,2026-06-19
5102,2026-06-19 09:25:00,NSE:NIFTY,23963.05,23964.7,23945.05,23955.95,8865621.0,23963.05,23964.7,23945.05,23955.95,8865621.0,2026-06-19 09:25:00,2026-06-19
5103,2026-06-19 09:30:00,NSE:NIFTY,23955.55,23958.4,23938.75,23950.35,7389966.0,23955.55,23958.4,23938.75,23950.35,7389966.0,2026-06-19 09:30:00,2026-06-19
5104,2026-06-19 09:35:00,NSE:NIFTY,23950.05,23970.65,23946.1,23970.15,5311550.0,23950.05,23970.65,23946.1,23970.15,5311550.0,2026-06-19 09:35:00,2026-06-19
5105,2026-06-19 09:40:00,NSE:NIFTY,23970.4,23981.95,23966.4,23974.1,5349439.0,23970.4,23981.95,23966.4,23974.1,5349439.0,2026-06-19 09:40:00,2026-06-19
5106,2026-06-19 09:45:00,NSE:NIFTY,23975.2,23979.6,23961.8,23976.55,5026923.0,23975.2,23979.6,23961.8,23976.55,5026923.0,2026-06-19 09:45:00,2026-06-19
5107,2026-06-19 09:50:00,NSE:NIFTY,23977.45,23986.7,23961.8,23986.25,5900250.0,23977.45,23986.7,23961.8,23986.25,5900250.0,2026-06-19 09:50:00,2026-06-19
5108,2026-06-19 09:55:00,NSE:NIFTY,23985.1,23990.05,23982.4,23987.9,4730515.0,23985.1,23990.05,23982.4,23987.9,4730515.0,2026-06-19 09:55:00,2026-06-19
5109,2026-06-19 10:00:00,NSE:NIFTY,23987.7,23989.05,23963.6,23973.5,4400320.0,23987.7,23989.05,23963.6,23973.5,4400320.0,2026-06-19 10:00:00,2026-06-19
5110,2026-06-19 10:05:00,NSE:NIFTY,23973.55,23993.8,23970.2,23991.55,5192177.0,23973.55,23993.8,23970.2,23991.55,5192177.0,2026-06-19 10:05:00,2026-06-19
5111,2026-06-19 10:10:00,NSE:NIFTY,23991.8,24011.25,23987.95,24009.95,4317915.0,23991.8,24011.25,23987.95,24009.95,4317915.0,2026-06-19 10:10:00,2026-06-19
5112,2026-06-19 10:15:00,NSE:NIFTY,24010.35,24011.5,23991.65,23992.4,3546092.0,24010.35,24011.5,23991.65,23992.4,3546092.0,2026-06-19 10:15:00,2026-06-19
5113,2026-06-19 10:20:00,NSE:NIFTY,23993.35,23997.0,23978.35,23983.0,4266130.0,23993.35,23997.0,23978.35,23983.0,4266130.0,2026-06-19 10:20:00,2026-06-19
5114,2026-06-19 10:25:00,NSE:NIFTY,23981.95,23984.5,23965.25,23966.85,3275019.0,23981.95,23984.5,23965.25,23966.85,3275019.0,2026-06-19 10:25:00,2026-06-19
5115,2026-06-19 10:30:00,NSE:NIFTY,23966.75,23972.05,23953.9,23960.95,3134037.0,23966.75,23972.05,23953.9,23960.95,3134037.0,2026-06-19 10:30:00,2026-06-19
5116,2026-06-19 10:35:00,NSE:NIFTY,23960.75,23969.0,23958.45,23968.3,2627384.0,23960.75,23969.0,23958.45,23968.3,2627384.0,2026-06-19 10:35:00,2026-06-19
5117,2026-06-19 10:40:00,NSE:NIFTY,23968.9,23972.6,23955.05,23970.7,2855796.0,23968.9,23972.6,23955.05,23970.7,2855796.0,2026-06-19 10:40:00,2026-06-19
5118,2026-06-19 10:45:00,NSE:NIFTY,23970.2,23972.3,23955.85,23957.25,2725951.0,23970.2,23972.3,23955.85,23957.25,2725951.0,2026-06-19 10:45:00,2026-06-19
5119,2026-06-19 10:50:00,NSE:NIFTY,23957.4,23960.0,23941.9,23946.65,3565602.0,23957.4,23960.0,23941.9,23946.65,3565602.0,2026-06-19 10:50:00,2026-06-19
5120,2026-06-19 10:55:00,NSE:NIFTY,23946.6,23952.95,23940.5,23944.9,2453446.0,23946.6,23952.95,23940.5,23944.9,2453446.0,2026-06-19 10:55:00,2026-06-19
5121,2026-06-19 11:00:00,NSE:NIFTY,23944.8,23956.05,23941.1,23945.8,3053096.0,23944.8,23956.05,23941.1,23945.8,3053096.0,2026-06-19 11:00:00,2026-06-19
5122,2026-06-19 11:05:00,NSE:NIFTY,23945.55,23953.75,23936.25,23953.4,2908766.0,23945.55,23953.75,23936.25,23953.4,2908766.0,2026-06-19 11:05:00,2026-06-19
5123,2026-06-19 11:10:00,NSE:NIFTY,23953.2,23965.5,23952.3,23964.55,3430106.0,23953.2,23965.5,23952.3,23964.55,3430106.0,2026-06-19 11:10:00,2026-06-19
5124,2026-06-19 11:15:00,NSE:NIFTY,23964.5,23967.4,23951.45,23960.9,2540347.0,23964.5,23967.4,23951.45,23960.9,2540347.0,2026-06-19 11:15:00,2026-06-19
5125,2026-06-19 11:20:00,NSE:NIFTY,23961.2,23962.1,23947.05,23948.45,2392877.0,23961.2,23962.1,23947.05,23948.45,2392877.0,2026-06-19 11:20:00,2026-06-19
5126,2026-06-19 11:25:00,NSE:NIFTY,23947.9,23954.8,23941.85,23953.05,2999040.0,23947.9,23954.8,23941.85,23953.05,2999040.0,2026-06-19 11:25:00,2026-06-19
5127,2026-06-19 11:30:00,NSE:NIFTY,23953.75,23964.75,23947.05,23960.55,2308690.0,23953.75,23964.75,23947.05,23960.55,2308690.0,2026-06-19 11:30:00,2026-06-19
5128,2026-06-19 11:35:00,NSE:NIFTY,23960.7,23968.3,23952.75,23955.35,2530693.0,23960.7,23968.3,23952.75,23955.35,2530693.0,2026-06-19 11:35:00,2026-06-19
5129,2026-06-19 11:40:00,NSE:NIFTY,23954.95,23960.1,23951.65,23954.2,2420459.0,23954.95,23960.1,23951.65,23954.2,2420459.0,2026-06-19 11:40:00,2026-06-19
5130,2026-06-19 11:45:00,NSE:NIFTY,23954.45,23956.1,23940.2,23945.15,4292050.0,23954.45,23956.1,23940.2,23945.15,4292050.0,2026-06-19 11:45:00,2026-06-19
5131,2026-06-19 11:50:00,NSE:NIFTY,23944.7,23951.55,23943.85,23944.35,2842705.0,23944.7,23951.55,23943.85,23944.35,2842705.0,2026-06-19 11:50:00,2026-06-19
5132,2026-06-19 11:55:00,NSE:NIFTY,23944.5,23956.2,23940.75,23954.4,2794595.0,23944.5,23956.2,23940.75,23954.4,2794595.0,2026-06-19 11:55:00,2026-06-19
